popularity,original_title,director,runtime,release_date,vote_count,vote_average,budget_adj,revenue_adj
32.985763,Jurassic World,Colin Trevorrow,124,6/9/2015,5562,6.5,137999939.3,1392445893
28.419936,Mad Max: Fury Road,George Miller,120,5/13/2015,6185,7.1,137999939.3,348161292.5
13.112507,Insurgent,Robert Schwentke,119,3/18/2015,2480,6.3,101199955.5,271619025.4
11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,12/15/2015,5292,7.5,183999919,1902723130
9.335014,Furious 7,James Wan,137,4/1/2015,2947,7.3,174799923.1,1385748801
9.1107,The Revenant,Alejandro Gonz_¡lez I_±_¡rritu,156,12/25/2015,3929,7.2,124199945.4,490314247
8.654359,Terminator Genisys,Alan Taylor,125,6/23/2015,2598,5.8,142599937.3,405355075.7
7.6674,The Martian,Ridley Scott,141,9/30/2015,4572,7.6,99359956.28,547749654.3
7.404165,Minions,Kyle Balda|Pierre Coffin,91,6/17/2015,2893,6.5,68079970.04,1064192017
6.326804,Inside Out,Pete Docter,94,6/9/2015,3935,8,160999929.2,785411574.7
6.200282,Spectre,Sam Mendes,148,10/26/2015,3254,6.2,225399900.8,810220283.8
6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,2/4/2015,1937,5.2,161919931.5,169268630.7
6.118847,Ex Machina,Alex Garland,108,1/21/2015,2854,7.6,13799993.93,33919845.96
5.984995,Pixels,Chris Columbus,105,7/16/2015,1575,5.8,80959964.38,224146025.1
5.944927,Avengers: Age of Ultron,Joss Whedon,141,4/22/2015,4304,7.4,257599886.7,1292632337
5.8984,The Hateful Eight,Quentin Tarantino,167,12/25/2015,2389,7.4,40479982.19,143299244.6
5.749758,Taken 3,Olivier Megaton,109,1/1/2015,1578,6.1,44159980.57,299709578.2
5.573184,Ant-Man,Peyton Reed,115,7/14/2015,3779,7,119599947.4,477113780
5.556818,Cinderella,Kenneth Branagh,112,3/12/2015,1495,6.8,87399961.54,498963025.2
5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,11/18/2015,2380,6.5,147199935.2,598481289.5
5.462138,Tomorrowland,Brad Bird,130,5/19/2015,1899,6.2,174799923.1,192312729.9
5.337064,Southpaw,Antoine Fuqua,123,6/15/2015,1386,7.3,27599987.86,84373003.72
4.907832,San Andreas,Brad Peyton,114,5/27/2015,2060,6.1,101199955.5,432851375
4.710402,Fifty Shades of Grey,Sam Taylor-Johnson,125,2/11/2015,1865,5.3,36799983.81,524079119
4.648046,The Big Short,Adam McKay,130,12/11/2015,1545,7.3,25759988.67,122678731.5
4.566713,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,7/23/2015,2349,7.1,137999939.3,627743451.7
